DATA,ORDEM,TIPO_DE_AT,APARELHO,MARCA,TECNICO,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO
22-09-2022,1590,GON,Lava E Seca,Midea,Alex,SEM DEFEITO,0,0,24-09-2022,Não
22-09-2022,1591,FON,Refrigerador,Panasonic,Alex,Concluído,0,26-09-2022,26-09-2022,Sim
22-09-2022,1592,GON,Lavadora,Panasonic,Alex / Luan,Concluído,29-09-2022,10-03-2022,10-03-2022,Sim
23-09-2022,1593,FB,Aspirador,Wap,Thiago,Concluído,0,10-04-2022,10-05-2022,Sim
23-09-2022,1594,GB,Microondas,Midea,Luan,Concluído,10-05-2022,10-05-2022,10-07-2022,Sim
23-09-2022,1595,FB,Lavadora,Panasonic,Luan/Alex,Concluído,0,13-10-2022,28-10-2022,Sim
23-09-2022,1596,GB,Robo,Wap,,,0,0,0,Não
23-09-2022,1597,GON,Refrigerador,Panasonic,Cvg/Luan,Concluído,14-10-2022,25-10-2022,25-10-2022,Sim
23-09-2022,1598,GS,Microondas,Midea,Luan,Concluído,0,26-09-2022,27-09-2022,Sim
23-09-2022,1599,GS,Robo,Wap,Thiago,Concluído,0,24-09-2022,27-09-2022,Sim
24-09-2022,1600,GB,Microondas,Toshiba,Luan,RESSARCIMENTO,0,0,16-12-2022,NÃO
24-09-2022,1601,GON,Lava E Seca,Midea,,CANCELADO,0,0,10-06-2022,Não
24-09-2022,1602,FB,Robo,Wap,Thiago,Concluído,0,28-09-2022,17-10-2022,Sim
24-09-2022,1603,GB,Robo,Midea,Patrick,Concluído,10-03-2022,10-04-2022,10-05-2022,Sim
26-09-2022,1604,GON,Lavadora,Panasonic,Cvg,Concluído,10-03-2022,10-07-2022,10-07-2022,Sim
26-09-2022,1605,FON,Refrigerador,Panasonic,Cvg,Concluído,0,10-03-2022,10-03-2022,Sim
26-09-2022,1606,GON,Refrigerador,Panasonic,Cvg/ Alex,Concluído,0,28-09-2022,28-09-2022,Sim
26-09-2022,1607,FON,Refrigerador,Panasonic,,CANCELADO,0,0,27-09-2022,Não
26-09-2022,1608,GON,,,,,0,0,0,Não
26-09-2022,1609,GON,Cooktop,Midea,Cvg/Alex,Concluído,0,28-09-2022,28-09-2022,Sim
26-09-2022,1610,FB,Gb,Midea,Luan,Concluído,0,29-09-2022,10-06-2022,Sim
26-09-2022,1611,GB,Robo,Wap,Thiago,Concluído,0,28-09-2022,29-09-2022,Sim
26-09-2022,1612,GB,Robo,Wap,Thiago,Concluído,0,27-09-2022,28-09-2022,Sim
26-09-2022,1612 - D,GB,Microondas,Midea,Luan,Concluído,0,29-09-2022,10-03-2022,Sim
27-09-2022,1613,GB,Microondas,Midea,Luan,Concluído,0,29-09-2022,10-07-2022,Sim
27-09-2022,1614,FB,Lava E Seca,Midea,Alex/Luan,SEM CONSERTO,0,0,25-11-2022,NÃO
27-09-2022,1615,GON,Lavadora,Panasonic,Cvg / Alex,Concluído,10-06-2022,18-10-2022,18-10-2022,Sim
27-09-2022,1616,GON,Lavadora,Panasonic,Alex / Luan - Cvg,Concluído,14-10-2022,10-07-2022,10-07-2022,Sim
27-09-2022,1617,GB,Robo,Midea,Patrick,Concluído,0,10-03-2022,10-05-2022,Sim
27-09-2022,1618,FON,Ar Condicionado,Elgin,Cvg,CANCELADO,0,0,01-04-2023,NÃO
28-09-2022,1619,FB,Robo,Midea,Patrick,Concluído,0,10-04-2022,18-11-2022,Sim
28-09-2022,1620,GB,Microondas,Midea,Luan,Concluído,0,29-09-2022,10-07-2022,Sim
28-09-2022,1621,GB,Microondas,Panasonic,Luan,Concluído,17-10-2022,18-10-2022,19-10-2022,Sim
28-09-2022,1622,GON,Lavadora,Panasonic,Alex - Luan,Concluído,0,10-03-2022,10-03-2022,Sim
28-09-2022,1623,FON,Lava E Seca,Midea,,CANCELADO,0,0,30-09-2022,Não
28-09-2022,1624,GON,Cooktop,Midea,Luan/Alex,Concluído,0,10-01-2022,10-01-2022,Sim
29-09-2022,1625,FB,Microondas,Midea,,,0,0,0,Não
29-09-2022,1626,GB,Robo,Wap,Thiago,Concluído,10-03-2022,10-04-2022,15-10-2022,Sim
29-09-2022,1627,GON,Refrigerador,Panasonic,Alex / Luan,Concluído,0,10-01-2022,10-01-2022,Sim
29-09-2022,1628,FB,Robo,Midea,Patrick,Concluído,0,10-10-2022,23-01-2023,Sim
29-09-2022,1629,GON,Refrigerador,Panasonic,Alex / Luan,Concluído,0,10-04-2022,10-04-2022,Sim
29-09-2022,1630,GON,Refrigerador,Panasonic,Alex / Luan / Cvg,Concluído,0,15-10-2022,15-10-2022,Sim
30-09-2022,1631,GON,Lavadora,Panasonic,Alex / Luan,Concluído,0,10-01-2022,10-01-2022,Sim
30-09-2022,1632,GB,Microondas,Midea,Luan,Concluído,0,30-09-2022,10-07-2022,Sim
30-09-2022,1633,GON,Lavadora,Panasonic,Cvg,Concluído,0,10-07-2022,10-07-2022,Sim
30-09-2022,1634,FB,Microondas,Panasonic,Luan,Concluído,0,10-10-2022,18-10-2022,Sim
30-09-2022,1635,GB,Microondas,Midea,Luan,Concluído,0,10-10-2022,22-10-2022,Sim
10-01-2022,1636,GB,Robo,Wap,Mateus,Concluído,0,10-11-2022,21-10-2022,Sim
10-01-2022,1637,FB,Fritadeira,Midea,Thiago,Concluído,0,10-05-2022,10-08-2022,Sim
10-01-2022,1638,GB,Robo,Wap,Thiago,Concluído,0,10-03-2022,0,Não
10-03-2022,1639,GON,Lavadora,Midea,Luan/Alex,Concluído,0,10-04-2022,10-04-2022,Sim
10-03-2022,1640,GON,Cooktop,Midea,Alex/Luan,Concluído,14-10-2022,15-10-2022,17-10-2022,Sim
