DATA,TIPO DE AT.,APARELHO,MARCA,TECNICO,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
06-02-2023,FB,Cooktop,Midea,0,Sem Analise,0,0,13-02-2023,Não
07-02-2023,FON,Lavadora,Panasonic,Cvg,Concluído,0,13-02-2023,13-02-2023,Sim
07-02-2023,GB,Micro-Ondas,Midea,Robson,Concluído,23-02-2023,28-02-2023,10-03-2023,Sim
07-02-2023,FON,Refrigerador,Panasonic,Osiel,Concluído,0,10-02-2023,10-02-2023,Sim
07-02-2023,GS,Lava E Seca,Midea,Cvg,Concluído,0,25-04-2023,25-04-2023,Sim
07-02-2023,GB,Aspirador,Wap,Thiago,Concluído,14-02-2023,16-02-2023,24-02-2023,Sim
07-02-2023,GB,Micro-Ondas,Midea,Robson,Concluído,0,16-02-2023,0,Sim
07-02-2023,GON,Refrigerador,Panasonic,Osiel,Concluído,0,08-02-2023,08-02-2023,Sim
08-02-2023,FB,Microondas,Panasonic,Robson,Concluído,0,22-03-2023,24-03-2023,Sim
08-02-2023,GON,Frigobar,Midea,Osiel / Cvg / Brenno,Concluído,27-02-2023,07-03-2023,07-03-2023,Sim
08-02-2023,FB,Robo,Wap,Mateus,Cancelado,0,0,03-04-2023,Não
08-02-2023,FB,Robo,Wap,Mateus,Concluído,0,16-03-2023,27-03-2023,Sim
08-02-2023,GON,Lava  E Seca,Midea,Cvg,Troca,13-04-2023,0,17-04-2023,Sim
