DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO
02-07-2018,BALCÃO,Ntb,Positivo,Concluído,0,23-02-2018,28-02-2018,Sim,
02-07-2018,BALCÃO,Micro Ondas,Midea,Concluído,0,21-02-2018,22-02-2018,Sim,
02-07-2018,BALCÃO,Ntb,Itautec,Concluído,0,15-02-2018,16-02-2018,Sim,
02-07-2018,BALCÃO,Ntb,Samsung,Concluído,0,02-10-2018,02-10-2018,Sim,
02-07-2018,BALCÃO,Hd,Samsung,Sem Conserto,0,0,22-02-2018,Não,
02-07-2018,BALCÃO,Digtv,Positivo,Troca,0,0,28-02-2018,Não,
02-08-2018,ETCKET,Micro Ondas,Midea,Concluído,0,22-02-2018,23-02-2018,Sim,
02-08-2018,ETICKET,Micro Ondas,Midea,Concluído,0,22-02-2018,23-02-2018,Sim,
02-08-2018,BALCÃO,Digtv,Positivo,Concluído,0,21-02-2018,21-02-2018,Sim,
02-08-2018,BALCÃO,Celular,Positivo,Concluído,0,15-02-2018,16-02-2018,Sim,
02-08-2018,BALCÃO,Ntb,Lg,Concluído,0,16-02-2018,21-02-2018,Sim,
02-08-2018,BALCÃO,Ntb,Dell,Concluído,0,02-09-2018,02-10-2018,Sim,
02-08-2018,BALCÃO,Ntb,Hp,Concluído,0,16-02-2018,21-02-2018,Sim,
02-09-2018,BALCÃO,Digtv,Positivo,Troca,0,0,23-02-2018,Não,
02-09-2018,BALCÃO,Union,Positivo,Concluído,0,26-02-2018,27-02-2018,Sim,
02-09-2018,BALCÃO,Celular,Positivo,Concluído,0,03-02-2018,03-07-2018,Sim,
02-09-2018,ETICKET,Micro Ondas,Midea,Concluído,0,22-02-2018,23-02-2018,Sim,
02-10-2018,BALCÃO,Ntb,Itautec,Sem Conserto,0,0,17-02-2018,Não,
02-12-2018,ETICKET,Micro Ondas,Midea,Concluído,0,22-02-2018,23-02-2018,Sim,
14-02-2018,BALCÃO,Digitv,Positivo,Troca,0,0,03-07-2018,Não,
14-02-2018,BALCÃO,Cel,Positivo,Concluído,0,19-02-2018,13-03-2018,Sim,
14-02-2018,BALCÃO,Cel,Positivo,Cancelado,0,19-02-2018,0,Não,
15-02-2018,ON SITE,Ar Condicionado,Midea,Consertado,0,20-02-2018,20-02-2018,Sim,
15-02-2018,BALCÃO,Purificador,Midea,Concluído,0,20-02-2018,20-02-2018,Sim,
15-02-2018,BALCÃO,Digtv,Positivo,Troca,0,0,23-02-2018,Não,
15-02-2018,BALCÃO,Digtv,Positivo,Troca,0,0,24-02-2018,Não,
15-02-2018,ON SITE,Desk,Daten,Consertado,0,20-02-2018,20-02-2018,Sim,
15-02-2018,ON SITE,Desk,Daten,Consertado,0,19-02-2018,19-02-2018,Sim,
15-02-2018,BALCÃO,Digitv,Positivo,Troca,0,23-02-2018,03-05-2018,Não,
